station,lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,annual,,,
21160170,3.709333333,-74.79083333,141.2689655,192.3482759,244.1982759,260.3448276,193.5413793,96.71034483,52.41034483,44.4137931,85.10344828,284.5431034,312.8206897,250.0724138,179.8146552,,,
21160180,3.839777778,-74.68830556,158.7933333,154.055,225.9566667,290.4133333,264.915,155.0533333,110.8133333,93.41666667,132.85,291.3566667,295.55,193.7833333,197.2463889,,,
21160200,3.893055556,-74.57080556,128.3354839,128.5451613,202.8290323,259.6709677,213.3193548,113.3225806,107.3580645,100.2258065,133.0516129,252.7666667,245.6790323,165.0096774,170.8427867,,,
21165030,3.897916667,-74.77152778,111.2105263,144.0592105,193.4578947,233.5513158,198.8289474,88.66578947,54.44736842,48.61710526,134.9815789,268.8105263,276.0434211,186.3052632,161.5815789,,,
21170020,4.258277778,-74.78361111,46.06973684,80.18421053,108.875,170.4052632,155.5934211,78.82105263,37.58157895,38.36315789,113.9381579,153.3684211,103.9763158,76.03552632,96.93432018,,,
21170040,3.912138889,-74.82244444,137.19,155.5816667,216.6183333,284.775,211.13,90.835,53.025,58.88833333,114.0733333,302.775,279.965,193.5216667,174.8648611,,,
21180040,4.2425,-75.2425,90.94047619,117.2809524,163.2285714,227.6642857,232.2833333,115.1,59.32857143,78.66666667,168.3619048,224.6595238,217.9285714,131.25,152.2244048,,,
21180120,4.029166667,-75.10555556,78.33428571,80.50714286,138.5257143,239.9,180.2285714,65.90285714,38.03142857,53.38571429,94.78571429,186.3714286,209.1571429,115.9714286,123.425119,,,
21180160,4.055944444,-74.8415,92.23809524,95.17857143,146.547619,223.05,239.1095238,102.5,54.91666667,55.22619048,139.0571429,215.1666667,192.3071429,119.3309524,139.552381,,,
21180210,4.191944444,-75.11275,65.93684211,91.27763158,116.2631579,214.7315789,208.6105263,75.15263158,46.99473684,54.08421053,128.2789474,193.5223684,154.8052632,101.1710526,120.9024123,,,
21185020,4.188138889,-74.96047222,65.66842105,82.49210526,142.9486842,162.3105263,200.4460526,72.26447368,40.35657895,43.39605263,139.9328947,173.7263158,119.1342105,81.49605263,110.3476974,,,
21185030,4.008833333,-74.98138889,73.60888889,76.76222222,115.2355556,181.4766667,183.7566667,81.84,40.28555556,45.07888889,109.6566667,157.7277778,151.56,112.6844444,110.8061111,,,
21185040,4.275444444,-74.798,41.96777778,78.02111111,103.4166667,170.1822222,152.1722222,56.56333333,29.08222222,35.24555556,102.9322222,158.4133333,102.03,74.71444444,92.06175926,,,
21190090,3.986972222,-74.48355556,42.17444444,54.10555556,81.57666667,113.5866667,108.3377778,59.54333333,49.69,55.98111111,70.65666667,123.3788889,108.8966667,51.41444444,76.61185185,,,
21190210,4.305888889,-74.64866667,70.77375,91.0475,115.32,188.27,189.655,73.625,33.465,41.22625,93.77,219.9525,155.0725,104.28625,114.7053125,,,
21190290,4.161027778,-74.71311111,88.3402439,102.8134146,138.0146341,207.3865854,202.5963415,95.41707317,41.8804878,49.62317073,121.0902439,207.497561,188.9243902,106.9682927,129.2127033,,,
21190310,4.387972222,-74.32991667,129.8378788,119.9166667,178.8924242,191.8424242,144.4818182,73.8969697,68.07424242,60.47575758,82.95606061,189.1515152,225.4257576,148.9393939,134.4909091,,,
21190330,3.905861111,-74.50969444,59.97121212,86.30454545,115.2969697,171.0151515,158.4893939,98.45454545,92.07878788,84.58333333,87.16212121,164.65,143.1681818,83.01515152,112.0157828,,,
21190350,4.152472222,-74.35975,26.721875,40.5703125,56.5203125,85.96822917,97.584375,54.2828125,48.4453125,51.225,53.0859375,88.7828125,63.6515625,34.8609375,58.4749566,,,
21190410,4.164611111,-74.58733333,121.9793103,130.5327586,236.0931034,193.3172414,199.1448276,81.50344828,60.85,46.52758621,108.5672414,231.0896552,247.5137931,177.837931,152.9130747,,,
21195060,4.192722222,-74.48741667,57.06222222,82.81222222,118.2211111,133.5833333,122.6277778,55.69111111,43.92111111,41.35111111,74.08777778,146.7277778,150.9211111,90.09444444,93.09175926,,,
21195070,4.310111111,-74.31175,45.67727273,50.18522727,85.46931818,104.6454545,76.96931818,52.94204545,43.66363636,39.30113636,55.63068182,111.1852273,109.7409091,63.19545455,69.88380682,,,
21201060,5.04325,-74.03338889,37.44878049,62.04634146,81.82682927,136.2939024,148.2280488,104.3341463,98.07804878,90.25731707,90.65853659,140.8646341,112.2963415,56.02804878,96.5300813,,,
21201070,4.866666667,-74.26666667,38.1025,63.37625,97.72625,93.87625,91.30125,55.725,39.12375,47.9025,53.715,104.295,100.8675,53.99,70.00010417,,,
21201090,4.442694444,-74.54225,95.02820513,102.225641,127.7692308,207.5294872,171.5923077,58.18205128,37.19615385,30.29871795,77.11282051,192.4923077,150.2692308,85.19487179,111.2409188,,,
21201100,4.466666667,-74.65,52.35263158,69.57105263,99.575,153.5802632,144.0381579,43.61842105,21.86578947,44.38552632,89.06578947,129.9210526,122.925,57.03815789,85.66140351,,,
21201140,4.802166667,-74.17997222,23.68625,32.7675,56.78625,86.5925,84.6775,47.90375,38.43625,38.8775,49.44375,95.3075,71.73,40.73125,55.57833333,,,
21201210,4.866388889,-74.15386111,16.63055556,36.38888889,60.13194444,104.1861111,98.30972222,55.38611111,43.35555556,46.45972222,65.86944444,91.99444444,72.61805556,38.17777778,60.79236111,,,
21201220,4.784277778,-73.87080556,22.14264706,46.34705882,65.00882353,106.9529412,122.3367647,137.2102941,147.9897059,133.4926471,85.40735294,102.9926471,86.82941176,38.65147059,91.28014706,,,
21201250,4.871638889,-73.96666667,28.9016129,42.15322581,54.78064516,82.97096774,85.86612903,60.76129032,65.72903226,52.73225806,47.89516129,86.24354839,80.58064516,43.09677419,60.97594086,,,
21201310,4.465444444,-74.2675,23.2625,33.7125,52.45357143,80.26071429,85.52142857,49.60535714,36.98928571,36.55178571,43.05892857,77.72142857,75.67857143,42.70178571,53.1264881,,,
21201320,4.509361111,-74.26880556,22.17142857,35.62321429,53.075,80.39464286,85.45,44.09285714,34.86428571,34.66607143,49.49642857,77.50357143,63.24285714,43.22857143,51.98407738,,,
